sentence,,,,,,,,,,,,,,,,,,,,,,,,,label
,,,,,,,,,,,,,,,,,,,,,,,,,
Planning and implementing investment strategies for the parent company as well as its subsidiary ventures & ensuring optimal allocation of group’s resources,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Performing continuous global research for new investment opportunities,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Conducting financial and marketing feasibility studies & analysis for the potential business opportunities gaps,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Formulating and implementing strategies to increase joint venture partnership by identifying the key partners with major contribution for the opprotuinty,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare investment proposals & C-level presentations to investment committee to meet the group’s pre-approval investment strategy,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Developed and implemented valuation models in order to report accurate Investment planning information with respect to its assessment well as maximizing the value of the acquired assets,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare full investment advice reports and investment assessment sheets for all current and potential investment opportunities or projects,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Perform trend analysis for the internal & external competitors as well as search for cost control opportunities and devised robust risk management and mitigation strategies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Effectively communicated and managed the branding of corporate,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
segment & business unit,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Managing an array of activities including business development functions at the corporate,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
segment & business unit level,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Handled several activities including appraising of potential investments,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
due diligence,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
budget simulation and financial structuring of companies and valuation,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring existing investments to substantiate its long-term value and consistent with the group’s investment guidelines,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Supervising group’s portfolio and asset management during the term of the investment,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Liaised with governmental,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
legal and private tendering authorities to manage all negotiations and related activity necessary to acquisitions and/or loan transaction,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait Finance & Investment Company “KFIC” ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
* KFIC is an Investment Company providing Financial & Investment services,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
* Listed on the Kuwaiti stock exchange,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
*Total current capital of KWD 41,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
9 M,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
the equivalent of USD 154,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
7M (as of 9th April 2008) ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Title:             Chief Financial Officer,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Duration:            March 2008 – May 2011,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Main Accountabilities/Accomplishments:,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
leadership the finance team of  37 employees in  overseeing of the corporate treasury function and all financial reporting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
planning,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
analysis,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
account operations,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
settlements and new business development efforts,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Played a principal role in providing strategic leadership role in aligning the corporate financial position and determining the impact of new opportunities and initiatives,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully enhanced critical liquidity and liability/asset ratio issues,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Increased liquidity by 1000% to $70 Million,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Negotiated and conducted the restructuring and financing of more than $500 million in short-term debt to achieve renewed financial stability and solvency,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Actively involved in extensive discussions and review activities by more than 22 Banks and financial institutions (local and International) including all major banks in Kuwait (National Bank Of Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Ahli United Bank,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait Finance House,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Bank,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Ahli Bank and other banks and financial institutions),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Restructured and converted short term debt of KIFC into long term debt within a span of 5 years with capital increase required to meet the central bank requirements,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked the best realistic restructure deal in 2010 since it was based on the company’s projected cash flow and conservative re-payment programme with a close monitoring of the company’s balance sheet and covenant’s ratios,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
and the repayments was based on exit of certain assets,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
capital increase and cash flow generation from the company’s ongoing business,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully positioned the business to absorb new market realities following worldwide financial decline,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
strategized and led the execution of a reduced investment position to minimise risks while optimising returns,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Augmented overall revenues by 15% in 2008 and lead 2 key acquisitions that delivered sustainable revenue and cash flow streams to the group,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Provided strategic direction and insights to KFIC in order to control costs and also provided analytical insights on financial impact and soundness of business decisions to the top management in addition to providing key inputs regarding the ideal capital structure to be adopted,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Managed capital raising and restructuring initiatives and determined the funding pool,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
high level risk management policies and cost allocation methodologies,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Acting as Treasury Manager for the company’s funding,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
cash operations,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
foreign exchange,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
risk management,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
dividend policy and other relevant aspects of corporate finance,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully increased the internal financial controls by implementing a broad upgrade for all accounting,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
MIS,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
portfolio management and loan IT systems,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected achievements:
",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully restructured more than USD 500 million debt and bonds for over 5 years repayment program with more than 22 local and international banks including NBK,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Bank,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
KFH,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
NBAD,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
AUB and Ah ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
It was ranked the best realistic restructure deal in 2010,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
and the repayments were based on exit of certain assets,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
capital increase and cash flow generation from the company’s ongoing business,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Increased overall revenues by 15% in 2008 and lead  2 key acquisitions that delivered sustainable revenue and cash flow streams,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Bayt Al Mal Investment Company,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Title:          Finance Manager,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Duration       July 2007 – February 2008 ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Accountabilities:,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Leading the finance team in conducting comprehensive financial analysis and monitored wide-ranging of corporate financial information to provide in-depth vision and recommendations to senior management serving both long and short-term business planning purposes,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Performed financial analysis and interpretation of results in addition to providing support and preparing regular management information reports to board of directors,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Handled due diligence process for 2 major acquisitions opportunities & provided the group’s BOD with sound recommendations which then approved & resulted in delivering new revenues and cash flow streams,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully managed the financial reporting of the group as well as evaluated various investment opportunities in compliance with CBK and regulators,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewed and analyzed budget preparation processes and forecasts to support the strategic planning and budgeting process,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Closely monitored internal controls for the group & identified control deficiencies or material weaknesses in controls,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Managed successfully the financial reporting process of the group for external reporting and audit review,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Analyzed market dynamics and its impact on business development well as forecasting their effect’s on future trends and expected budgets,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Pursued the source of debit finance with local lenders as well as preparing cash flow and feasibility studies for the projects,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Responsible for the accuracy,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
integrity and regulatory compliance of internal accounting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
budgeting and forecasting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Ernst & Young (E&Y) – Kuwait ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Title:             Senior Auditor,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Function:    Auditing & Assurance,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Duration:            September 2004 – July 2007 ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Accountabilities:,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Leaded a team of 10 auditors through end-to-end audit engagements cycle initially from Audit planning,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
managing till the final completion stage of communicating the audit results with the client,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Mentored audit staff to ensure complete adherence to best industry practice and corporate audit standards,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Review with the engagement partners any critical area or significant findings that raise questions involving accounting principles,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
auditing standards,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
tax regulations and firm policies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor each engagement within the portfolio under my management to ensure that work is proceeding on schedule,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of separate and consolidated financial statements for statutory and reporting purposes,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Preparing audit reports and management letters,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Performing fundamental audit procedures and analytical reviews,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Liaised with finance,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
operations,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
and IT resources to develop comprehensive client solutions based on audit recommendations,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Developed & maintained the highest levels of client satisfaction to facilitate the completion of engagements as well as identifying potential opportunities to provide additional services to client,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Conducted Financial Accounting courses in specialised industries such as Islamic banking,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
and Oil &Gas,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Coach,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
supervise and conduct performance review feedback for the team to help the development of their skills and competences,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Major Clients audit experience:,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Oil and Gas: Kuwait Petroleum Corporation,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Banking and investment: Central Bank of Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
International Leasing and Investment Company,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
International industrial clients: Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance industry: Al Ahlia Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Trading and services: Laneville General Trading & Contracting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
PriceWaterHouseCoopers (PwC) – Egypt  ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
                  Job Title:             Associate Accountant,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job Function:    Financial Accounting Services Department,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Duration:              March 2003 – August 2004,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job accountabilities during my assignments:,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewing & recording of all bank and cash transactions occurred during the month,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of month end Financial Statements pack,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Recording month end general journal entries,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Preparing monthly analysis for the prepaid and accruals,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Handling of Petty Cash and advances for employees,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Preparing quarterly withholding tax forms,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Academic & Professional Credintilas ,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Chartered Financial Analyst (CFA),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate for Examination Level 3,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA – In Progress (finished 8 Papers out of required 14),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Certified Merger and Acquisition Advisor (CMAA) from Alliance of Merger and Acquisition Advisors,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
USA -2012,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Chartered Wealth Manager (CWM) from International Financial Management Academy,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
USA -2011,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Certified Operational Risk Professional (CORP),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
International Academy of Financial Management,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Certified Public Accountant (CPA),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
American Institute of Certified Public Accountants (AICPA),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Pursuing MBA from London Business School,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Dubai/London,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Commerce & Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
English Section,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
ZU- Egypt 2003,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Othr Financial Courses obtained,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
International Financial Reporting Standards (IFRS),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Insurance Accounting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas Accounting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Derivatives & Financial Instruments,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Islamic Banking,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Generally Accepted Audit Standards (GAAS),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Merger & Acquisitions,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Strategies & Private Equities,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Awareness,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Crisis Management,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Decision Making,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Computer skills,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent Microsoft application “Word,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Excel,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Power Point & Internet”,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Modeling & complex data mining & presentation,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Langauage skills,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Language: Arabic,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Level: Mother tongue,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Language: English,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Level: Excellent,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
both spoken & written,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
personal data,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Birth date: 01/09/1981,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Place of Birth: Cairo,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality: Egyptian,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Marital Status: Married ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Curriculum Vita,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Name                  	: Ahmad Al Hammouri",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Date of Birth  	: 1980",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Nationality         	: Jordanian ",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Address               	: UAE",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Contacts               : hamouriahmad@hotmail,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
com,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
                                050 5918868,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
amazing,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
herewith,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
submit my curriculum vitae for the consideration of a vacant position at your institution,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
I believe my academic background and experience will be of interest to you,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
My experience working with regional and multinational entities like banks and large financial and investment companies has been professionally rewarding,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
I have come to value results-oriented teamwork as key factor in increasing productivity and client satisfaction,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCATION:,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
